Variant_ID,Folding_Efficiency,Translation_Efficiency,Protein_Concentration,Total_Mass,Convergence_Quality
Spike_mRNA_structure_optimized_hairpin_stabilized_optimized_var_1,nan,nan,inf,nan,0.000
Spike_mRNA_structure_optimized_hairpin_stabilized_optimized_var_2,nan,nan,inf,nan,0.000
Spike_mRNA_structure_optimized_hairpin_stabilized_optimized_var_3,nan,nan,inf,nan,0.000
Spike_mRNA_structure_optimized_riboswitch_like_optimized_var_1,nan,nan,inf,nan,0.000
Spike_mRNA_structure_optimized_riboswitch_like_optimized_var_2,nan,nan,inf,nan,0.000
Spike_mRNA_structure_optimized_riboswitch_like_optimized_var_3,nan,nan,inf,nan,0.000
Spike_mRNA_structure_optimized_pseudoknot_optimized_var_1,nan,nan,inf,nan,0.000
Spike_mRNA_structure_optimized_pseudoknot_optimized_var_2,nan,nan,inf,nan,0.000
Spike_mRNA_structure_optimized_pseudoknot_optimized_var_3,nan,nan,inf,nan,0.000
Spike_mRNA_structure_optimized_kissing_loop_optimized_var_1,nan,nan,inf,nan,0.000
